scenario_id,scenario_name,repetition,condition,injected_at,detected_at,resolved_at,mttd_seconds,mttr_seconds,true_positive,false_positive,notes
S01,disk_fill_70,1,no_automation,2026-05-14T12:59:06.666491,2026-05-14T12:59:11.851674,2026-05-14T12:59:11.851689,900.0,3600.0,True,False,
S01,disk_fill_70,2,no_automation,2026-05-14T12:59:16.854043,2026-05-14T12:59:21.899458,2026-05-14T12:59:21.899470,900.0,3600.0,True,False,
S01,disk_fill_70,3,no_automation,2026-05-14T12:59:26.901816,2026-05-14T12:59:31.956114,2026-05-14T12:59:31.956128,900.0,3600.0,True,False,
S01,disk_fill_70,4,no_automation,2026-05-14T12:59:36.958583,2026-05-14T12:59:42.008350,2026-05-14T12:59:42.008365,900.0,3600.0,True,False,
S01,disk_fill_70,5,no_automation,2026-05-14T12:59:47.010841,2026-05-14T12:59:52.062232,2026-05-14T12:59:52.062247,900.0,3600.0,True,False,
S02,disk_fill_80,1,no_automation,2026-05-14T12:59:57.064779,2026-05-14T13:00:02.119825,2026-05-14T13:00:02.119842,900.0,3600.0,True,False,
S02,disk_fill_80,2,no_automation,2026-05-14T13:00:07.122421,2026-05-14T13:00:12.175737,2026-05-14T13:00:12.175750,900.0,3600.0,True,False,
S02,disk_fill_80,3,no_automation,2026-05-14T13:00:17.178475,2026-05-14T13:00:22.238198,2026-05-14T13:00:22.238213,900.0,3600.0,True,False,
S02,disk_fill_80,4,no_automation,2026-05-14T13:00:27.259064,2026-05-14T13:00:32.315204,2026-05-14T13:00:32.315220,900.0,3600.0,True,False,
S02,disk_fill_80,5,no_automation,2026-05-14T13:00:37.318106,2026-05-14T13:00:42.368870,2026-05-14T13:00:42.368885,900.0,3600.0,True,False,
S03,disk_fill_90,1,no_automation,2026-05-14T13:00:47.371545,2026-05-14T13:00:52.440322,2026-05-14T13:00:52.440338,900.0,3600.0,True,False,
S03,disk_fill_90,2,no_automation,2026-05-14T13:00:57.445020,2026-05-14T13:01:02.504766,2026-05-14T13:01:02.504781,900.0,3600.0,True,False,
S03,disk_fill_90,3,no_automation,2026-05-14T13:01:07.507789,2026-05-14T13:01:12.607817,2026-05-14T13:01:12.607832,900.0,3600.0,True,False,
S03,disk_fill_90,4,no_automation,2026-05-14T13:01:17.611040,2026-05-14T13:01:22.668887,2026-05-14T13:01:22.668900,900.0,3600.0,True,False,
