scenario_id,scenario_name,repetition,condition,injected_at,detected_at,resolved_at,mttd_seconds,mttr_seconds,true_positive,false_positive,notes
S01,disk_fill_70,1,rule_based,2026-05-14T13:11:49.220796,2026-05-14T13:11:54.324051,2026-05-14T13:11:54.324065,120.0,300.0,True,False,
S01,disk_fill_70,2,rule_based,2026-05-14T13:11:59.326651,2026-05-14T13:12:04.383981,2026-05-14T13:12:04.383995,120.0,300.0,True,False,
S01,disk_fill_70,3,rule_based,2026-05-14T13:12:09.386619,2026-05-14T13:12:14.458077,2026-05-14T13:12:14.458093,120.0,300.0,True,False,
S01,disk_fill_70,4,rule_based,2026-05-14T13:12:19.461218,2026-05-14T13:12:24.504489,2026-05-14T13:12:24.504504,120.0,300.0,True,False,
S01,disk_fill_70,5,rule_based,2026-05-14T13:12:29.508685,2026-05-14T13:12:34.586221,2026-05-14T13:12:34.586235,120.0,300.0,True,False,
S02,disk_fill_80,1,rule_based,2026-05-14T13:12:39.588781,2026-05-14T13:12:44.644927,2026-05-14T13:12:44.644943,120.0,300.0,True,False,
S02,disk_fill_80,2,rule_based,2026-05-14T13:12:49.647674,2026-05-14T13:12:54.699990,2026-05-14T13:12:54.700004,120.0,300.0,True,False,
S02,disk_fill_80,3,rule_based,2026-05-14T13:12:59.702837,2026-05-14T13:13:04.760854,2026-05-14T13:13:04.760870,120.0,300.0,True,False,
S02,disk_fill_80,4,rule_based,2026-05-14T13:13:09.763618,2026-05-14T13:13:14.817722,2026-05-14T13:13:14.817736,120.0,300.0,True,False,
S02,disk_fill_80,5,rule_based,2026-05-14T13:13:19.820242,2026-05-14T13:13:24.879081,2026-05-14T13:13:24.879095,120.0,300.0,True,False,
S03,disk_fill_90,1,rule_based,2026-05-14T13:13:29.881749,2026-05-14T13:13:34.960344,2026-05-14T13:13:34.960359,120.0,300.0,True,False,
S03,disk_fill_90,2,rule_based,2026-05-14T13:13:39.963287,2026-05-14T13:13:45.020238,2026-05-14T13:13:45.020253,120.0,300.0,True,False,
S03,disk_fill_90,3,rule_based,2026-05-14T13:13:50.023308,2026-05-14T13:13:55.080325,2026-05-14T13:13:55.080340,120.0,300.0,True,False,
S03,disk_fill_90,4,rule_based,2026-05-14T13:14:00.083212,2026-05-14T13:14:05.147900,2026-05-14T13:14:05.147914,120.0,300.0,True,False,
S03,disk_fill_90,5,rule_based,2026-05-14T13:14:10.150866,2026-05-14T13:14:15.210718,2026-05-14T13:14:15.210736,120.0,300.0,True,False,
S04,memory_press_70,1,rule_based,2026-05-14T13:14:20.214259,2026-05-14T13:14:25.217615,2026-05-14T13:14:25.217634,120.0,300.0,True,False,
S04,memory_press_70,2,rule_based,2026-05-14T13:14:30.218099,2026-05-14T13:14:35.220408,2026-05-14T13:14:35.220423,120.0,300.0,True,False,
S04,memory_press_70,3,rule_based,2026-05-14T13:14:40.220879,2026-05-14T13:14:45.222259,2026-05-14T13:14:45.222277,120.0,300.0,True,False,
S04,memory_press_70,4,rule_based,2026-05-14T13:14:50.222724,2026-05-14T13:14:55.224036,2026-05-14T13:14:55.224051,120.0,300.0,True,False,
S04,memory_press_70,5,rule_based,2026-05-14T13:15:00.224534,2026-05-14T13:15:05.225932,2026-05-14T13:15:05.225946,120.0,300.0,True,False,
